n_param,density,seed,n_traversable,d_shortest,path_length,reactions,gradient_reactions,agent_moves,tagging_reactions,termination_reactions,final_time,reached,first_gradient_time,first_tagging_time,first_agent_move_time,reached_time
5,0.0,0,25,8,8,39,30,7,1,1,8.36119486487946,True,0.044718313135184096,1.682330220207163,1.9982378482171512,8.36119486487946
5,0.0,1,25,8,8,39,30,7,1,1,8.36119486487946,True,0.044718313135184096,1.682330220207163,1.9982378482171512,8.36119486487946
5,0.0,2,25,8,8,39,30,7,1,1,8.36119486487946,True,0.044718313135184096,1.682330220207163,1.9982378482171512,8.36119486487946
5,0.0,3,25,8,8,39,30,7,1,1,8.36119486487946,True,0.044718313135184096,1.682330220207163,1.9982378482171512,8.36119486487946
5,0.0,4,25,8,8,39,30,7,1,1,8.36119486487946,True,0.044718313135184096,1.682330220207163,1.9982378482171512,8.36119486487946
5,0.0,5,25,8,8,39,30,7,1,1,8.36119486487946,True,0.044718313135184096,1.682330220207163,1.9982378482171512,8.36119486487946
5,0.0,6,25,8,8,39,30,7,1,1,8.36119486487946,True,0.044718313135184096,1.682330220207163,1.9982378482171512,8.36119486487946
5,0.0,7,25,8,8,39,30,7,1,1,8.36119486487946,True,0.044718313135184096,1.682330220207163,1.9982378482171512,8.36119486487946
5,0.0,8,25,8,8,39,30,7,1,1,8.36119486487946,True,0.044718313135184096,1.682330220207163,1.9982378482171512,8.36119486487946
5,0.0,9,25,8,8,39,30,7,1,1,8.36119486487946,True,0.044718313135184096,1.682330220207163,1.9982378482171512,8.36119486487946
5,0.0,10,25,8,8,39,30,7,1,1,8.36119486487946,True,0.044718313135184096,1.682330220207163,1.9982378482171512,8.36119486487946
5,0.0,11,25,8,8,39,30,7,1,1,8.36119486487946,True,0.044718313135184096,1.682330220207163,1.9982378482171512,8.36119486487946
5,0.0,12,25,8,8,39,30,7,1,1,8.36119486487946,True,0.044718313135184096,1.682330220207163,1.9982378482171512,8.36119486487946
5,0.0,13,25,8,8,39,30,7,1,1,8.36119486487946,True,0.044718313135184096,1.682330220207163,1.9982378482171512,8.36119486487946
5,0.0,14,25,8,8,39,30,7,1,1,8.36119486487946,True,0.044718313135184096,1.682330220207163,1.9982378482171512,8.36119486487946
5,0.0,15,25,8,8,39,30,7,1,1,8.36119486487946,True,0.044718313135184096,1.682330220207163,1.9982378482171512,8.36119486487946
5,0.0,16,25,8,8,39,30,7,1,1,8.36119486487946,True,0.044718313135184096,1.682330220207163,1.9982378482171512,8.36119486487946
5,0.0,17,25,8,8,39,30,7,1,1,8.36119486487946,True,0.044718313135184096,1.682330220207163,1.9982378482171512,8.36119486487946
5,0.0,18,25,8,8,39,30,7,1,1,8.36119486487946,True,0.044718313135184096,1.682330220207163,1.9982378482171512,8.36119486487946
5,0.0,19,25,8,8,39,30,7,1,1,8.36119486487946,True,0.044718313135184096,1.682330220207163,1.9982378482171512,8.36119486487946
5,0.0,20,25,8,8,39,30,7,1,1,8.36119486487946,True,0.044718313135184096,1.682330220207163,1.9982378482171512,8.36119486487946
5,0.0,21,25,8,8,39,30,7,1,1,8.36119486487946,True,0.044718313135184096,1.682330220207163,1.9982378482171512,8.36119486487946
